entry_time,exit_time,direction,entry,exit,sl,tp,r,reason,bars
2022-10-12 15:30:00+00:00,2022-10-12 18:00:00+00:00,-1,0.96956,0.9718667857142856,0.9718667857142856,0.9637930357142858,-1.0476854002167528,vwap_bounce_short,10
2022-11-23 13:45:00+00:00,2022-11-23 14:45:00+00:00,1,1.03328,1.0373112500000001,1.0316675,1.0373112500000001,2.431782945736504,vwap_bounce_long,4
2023-01-12 15:00:00+00:00,2023-01-12 23:00:00+00:00,1,1.07948,1.0849,1.0747914285714286,1.0912014285714287,1.132541133455219,vwap_bounce_long,32
2023-01-31 12:30:00+00:00,2023-01-31 13:30:00+00:00,-1,1.08287,1.0840432142857144,1.0840432142857144,1.0799369642857142,-1.093759512937588,vwap_bounce_short,4
2023-02-16 13:30:00+00:00,2023-02-16 21:30:00+00:00,-1,1.06873,1.06716,1.0701560714285714,1.0651648214285714,1.023791635361777,vwap_bounce_short,32
2023-02-21 14:45:00+00:00,2023-02-21 15:00:00+00:00,-1,1.06473,1.0662075,1.0662075,1.06103625,-1.074450084602368,vwap_bounce_short,1
2023-04-28 13:30:00+00:00,2023-04-28 14:15:00+00:00,-1,1.0994599999999999,1.1014164285714285,1.1014164285714285,1.0945689285714284,-1.0562248995983916,vwap_bounce_short,3
2023-06-13 12:30:00+00:00,2023-06-13 13:00:00+00:00,1,1.08154,1.0803839285714285,1.0803839285714285,1.0844301785714285,-1.0951498300895885,vwap_bounce_long,2
2023-08-16 13:45:00+00:00,2023-08-16 14:00:00+00:00,-1,1.09076,1.0921132142857142,1.0921132142857142,1.0873769642857143,-1.081287938770128,vwap_bounce_short,1
2023-09-06 14:00:00+00:00,2023-09-06 22:00:00+00:00,-1,1.07193,1.07261,1.0731642857142858,1.0688442857142857,-0.6400462962962925,vwap_bounce_short,32
2023-09-18 13:45:00+00:00,2023-09-18 14:15:00+00:00,-1,1.0661,1.0670342857142858,1.0670342857142858,1.063764285714286,-1.1177370030580962,vwap_bounce_short,2
2023-10-03 15:00:00+00:00,2023-10-03 23:00:00+00:00,-1,1.04632,1.04649,1.048387857142857,1.041150357142857,-0.13540587219343642,vwap_bounce_short,32
2023-11-28 13:15:00+00:00,2023-11-28 15:30:00+00:00,1,1.0961,1.0989044642857144,1.0949782142857143,1.0989044642857144,2.4019420566697574,vwap_bounce_long,9
2023-12-05 14:00:00+00:00,2023-12-05 15:00:00+00:00,-1,1.08205,1.0830967857142857,1.0830967857142857,1.0794330357142856,-1.1050835892186945,vwap_bounce_short,4
2024-02-02 13:00:00+00:00,2024-02-02 13:30:00+00:00,1,1.08861,1.087749642857143,1.087749642857143,1.0907608928571428,-1.127853881278538,vwap_bounce_long,2
2024-03-04 13:45:00+00:00,2024-03-04 21:45:00+00:00,1,1.08498,1.08549,1.0842375,1.0868362500000002,0.5387205387204872,vwap_bounce_long,32
2024-04-15 13:15:00+00:00,2024-04-15 21:15:00+00:00,-1,1.0644099999999999,1.06237,1.0656067857142855,1.0614180357142855,1.61265293942106,vwap_bounce_short,32
2024-05-15 12:30:00+00:00,2024-05-15 13:00:00+00:00,1,1.0864800000000001,1.0853925000000002,1.0853925000000002,1.08919875,-1.101149425287365,vwap_bounce_long,2
2024-10-03 14:00:00+00:00,2024-10-03 22:00:00+00:00,-1,1.10258,1.10334,1.1038325,1.0994487499999999,-0.6946107784431329,vwap_bounce_short,32
