timestamp,open,high,low,close,volume
2020-01-01 22:00:00+00:00,144.044,144.075,143.732,144.038,2827.11
2020-01-01 22:15:00+00:00,144.025,144.077,143.732,144.02,1500.86
2020-01-01 22:30:00+00:00,144.02,144.039,143.947,143.975,577.73
2020-01-01 22:45:00+00:00,143.982,144.016,143.947,143.959,192.57
2020-01-01 23:00:00+00:00,143.957,144.086,143.921,144.046,702.68
2020-01-01 23:15:00+00:00,144.046,144.085,144.029,144.053,609.82
2020-01-01 23:30:00+00:00,144.054,144.069,144.007,144.007,480.99
2020-01-01 23:45:00+00:00,144.012,144.067,144.008,144.053,931.39
2020-01-02 00:00:00+00:00,144.053,144.075,144.004,144.033,1356.18
2020-01-02 00:15:00+00:00,144.032,144.116,144.007,144.014,1266.16
2020-01-02 00:30:00+00:00,144.016,144.094,144.016,144.088,1163.24
2020-01-02 00:45:00+00:00,144.089,144.18,144.078,144.101,1639.5
2020-01-02 01:00:00+00:00,144.099,144.186,144.096,144.141,1270.74
2020-01-02 01:15:00+00:00,144.138,144.14,144.068,144.126,1197.89
2020-01-02 01:30:00+00:00,144.126,144.127,144.057,144.066,1442.57
2020-01-02 01:45:00+00:00,144.066,144.072,144.003,144.056,1429.2
2020-01-02 02:00:00+00:00,144.05,144.065,143.992,143.994,1453.41
2020-01-02 02:15:00+00:00,143.994,144.0,143.912,143.939,1217.49
2020-01-02 02:30:00+00:00,143.941,143.976,143.919,143.967,973.81
2020-01-02 02:45:00+00:00,143.965,144.023,143.965,143.979,585.69
2020-01-02 03:00:00+00:00,143.981,143.997,143.881,143.882,919.87
2020-01-02 03:15:00+00:00,143.881,143.881,143.644,143.699,1360.05
2020-01-02 03:30:00+00:00,143.697,143.713,143.611,143.647,1150.39
2020-01-02 03:45:00+00:00,143.647,143.647,143.499,143.599,1346.0
2020-01-02 04:00:00+00:00,143.596,143.624,143.525,143.624,991.93
2020-01-02 04:15:00+00:00,143.637,143.683,143.612,143.633,969.67
2020-01-02 04:30:00+00:00,143.632,143.703,143.632,143.68,883.88
2020-01-02 04:45:00+00:00,143.679,143.686,143.56,143.618,1305.78
2020-01-02 05:00:00+00:00,143.618,143.66,143.577,143.59,1753.55
2020-01-02 05:15:00+00:00,143.59,143.66,143.56,143.61,1609.15
2020-01-02 05:30:00+00:00,143.613,143.673,143.587,143.666,925.84
2020-01-02 05:45:00+00:00,143.664,143.69,143.636,143.683,825.54
2020-01-02 06:00:00+00:00,143.688,143.787,143.683,143.774,1418.61
2020-01-02 06:15:00+00:00,143.774,143.779,143.676,143.683,835.71
2020-01-02 06:30:00+00:00,143.682,143.694,143.589,143.611,856.48
2020-01-02 06:45:00+00:00,143.611,143.759,143.598,143.724,1006.22
2020-01-02 07:00:00+00:00,143.726,143.847,143.7,143.81,2328.49
2020-01-02 07:15:00+00:00,143.81,143.908,143.743,143.799,1652.06
